PARENT_LEVEL_1_ID,PARENT_LEVEL_1_NAME,PARENT_LEVEL_2_ID,PARENT_LEVEL_2_NAME,PARENT_LEVEL_3_ID,PARENT_LEVEL_3_NAME,PARENT_LEVEL_4_ID,PARENT_LEVEL_4_NAME,PARENT_LEVEL_5_ID,PARENT_LEVEL_5_NAME,PARENT_LEVEL_6_ID,PARENT_LEVEL_6_NAME,PARENT_LEVEL_7_ID,PARENT_LEVEL_7_NAME
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,qhgzA6FQLzF,CABINET 2 YEUX,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,eVFAuZOzogt,DS BOULMIOUGOU,IQ2OWmNVSLp,BOULMIOUGOU,kgMTcbN2Eh3,CABINET DACCOUCHEMENT DELWENDE DE BOASSA,,
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,n6QVVj8lqAz,KOURITENGA,bI89w2F4Edw,DS POUYTENGA,zgWItGBmLIQ,POUYTENGA,dl86XhR2Im7,CABINET DE L ESPOIR,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,nDTn6eAKg7L,CABINET DENTAIRE AMARIA,,
zmSNCYjqQGj,BURKINA FASO,x35OtBOWemw,HAUTS BASSINS,qP70IWKmadj,HOUET,E0hd8TD1M0q,DS DAFRA,r4fDgy2y7Ap,DAFRA,YddZArtuCOa,CABINET DENTAIRE ATM,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,Fb4Z44GAo0V,CABINET DENTAIRE CLINIQUE DENTAIRE ERAS,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,b5BPnIXjIsG,CABINET DENTAIRE DENTEK,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,mNd5zdee722,CABINET DENTAIRE DONTRY,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,eVFAuZOzogt,DS BOULMIOUGOU,IQ2OWmNVSLp,BOULMIOUGOU,brtVClrelqO,CABINET DENTAIRE FRATELLI DENTAL,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,L72ueb61KDY,CABINET DENTAIRE KINDY,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,veaDsYVw648,CABINET DENTAIRE ROSINE SAWADOGO,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,AhST5ZpuCDJ,DS BASKUY,Q7EEry72SRu,BASKUY,hLiozpbU1Pa,CABINET DENTAIRE SECOURS DENTAIRE INTERNATIONAL,,
zmSNCYjqQGj,BURKINA FASO,WXDW5h0TFmT,CENTRE,lc0s6XmhdoA,KADIOGO,tMXsltjzzmR,DS SIG NOGHIN,YBcULeIbGfm,SIG NOGHIN,czC7C0knftR,CABINET DE SOIN BAOBAB,,
